story,emotion,valence,value
ind,sad,negative,0.0
ind,depressed,negative,0.0
ind,miserable,negative,0.0
ind,anxious,negative,0.0
ind,sad,negative,2.0
ind,depressed,negative,0.0
ind,miserable,negative,0.0
ind,anxious,negative,2.0
ind,sad,negative,11.0
ind,depressed,negative,2.0
ind,miserable,negative,2.0
ind,anxious,negative,4.0
ind,sad,negative,15.0
ind,depressed,negative,4.0
ind,miserable,negative,7.0
ind,anxious,negative,2.0
ind,sad,negative,12.0
ind,depressed,negative,9.0
ind,miserable,negative,8.0
ind,anxious,negative,6.0
ind,sad,negative,3.0
ind,depressed,negative,1.0
ind,miserable,negative,0.0
ind,anxious,negative,1.0
ind,sad,negative,0.0
ind,depressed,negative,1.0
ind,miserable,negative,0.0
ind,anxious,negative,2.0
ind,sad,negative,0.0
ind,depressed,negative,0.0
ind,miserable,negative,0.0
ind,anxious,negative,4.0
ind,sad,negative,5.0
ind,depressed,negative,2.0
ind,miserable,negative,1.0
ind,anxious,negative,4.0
ind,sad,negative,7.0
ind,depressed,negative,4.0
ind,miserable,negative,0.0
ind,anxious,negative,6.0
ind,sad,negative,9.0
ind,depressed,negative,6.0
ind,miserable,negative,0.0
ind,anxious,negative,7.0
ind,sad,negative,3.0
ind,depressed,negative,1.0
ind,miserable,negative,0.0
ind,anxious,negative,2.0
ind,sad,negative,4.0
ind,depressed,negative,3.0
ind,miserable,negative,2.0
ind,anxious,negative,3.0
ind,sad,negative,1.0
ind,depressed,negative,1.0
ind,miserable,negative,0.0
ind,anxious,negative,1.0
xgen,sad,negative,4.0
xgen,depressed,negative,0.0
xgen,miserable,negative,0.0
xgen,anxious,negative,0.0
xgen,sad,negative,6.0
xgen,depressed,negative,1.0
xgen,miserable,negative,2.0
xgen,anxious,negative,1.0
xgen,sad,negative,5.0
xgen,depressed,negative,0.0
xgen,miserable,negative,1.0
xgen,anxious,negative,0.0
xgen,sad,negative,8.0
xgen,depressed,negative,2.0
xgen,miserable,negative,1.0
xgen,anxious,negative,0.0
xgen,sad,negative,9.0
xgen,depressed,negative,4.0
xgen,miserable,negative,2.0
xgen,anxious,negative,1.0
xgen,sad,negative,1.0
xgen,depressed,negative,0.0
xgen,miserable,negative,0.0
xgen,anxious,negative,0.0
xgen,sad,negative,0.0
xgen,depressed,negative,2.0
xgen,miserable,negative,0.0
xgen,anxious,negative,0.0
xgen,sad,negative,0.0
xgen,depressed,negative,0.0
xgen,miserable,negative,0.0
xgen,anxious,negative,0.0
xgen,sad,negative,4.0
xgen,depressed,negative,1.0
xgen,miserable,negative,0.0
xgen,anxious,negative,2.0
xgen,sad,negative,3.0
xgen,depressed,negative,2.0
xgen,miserable,negative,1.0
xgen,anxious,negative,0.0
xgen,sad,negative,3.0
xgen,depressed,negative,4.0
xgen,miserable,negative,2.0
xgen,anxious,negative,3.0
xgen,sad,negative,4.0
xgen,depressed,negative,0.0
xgen,miserable,negative,0.0
xgen,anxious,negative,0.0
xgen,sad,negative,5.0
xgen,depressed,negative,1.0
xgen,miserable,negative,0.0
xgen,anxious,negative,0.0
xgen,sad,negative,0.0
xgen,depressed,negative,0.0
xgen,miserable,negative,0.0
xgen,anxious,negative,0.0
